"richness","abundance","rf_sd","rf_mean"
3,3606,0.759809689827642,5.11848540944675
3,8083,0.613149843347361,5.68190870937881
3,11700,0.597645687412343,4.65642037465759
3,18166,0.681317058269916,5.67488611850373
5,8307,0.728164701491115,5.88327904343143
5,11136,0.701587217425015,4.71985172118931
5,12076,0.67487524875871,4.30759172389927
5,12262,0.636485138605832,3.80455858609636
5,17174,0.854223814104694,7.71916328357011
6,1946,1.15914472679139,6.89171867465438
6,8557,0.768693973589285,5.46254976491954
6,14474,0.810544757441599,7.17248245100761
7,2583,1.19593331265265,7.85851983049314
7,4207,0.892526183326162,6.51417416574473
9,5839,0.968561788708659,7.07947150792736
9,15015,0.892287903928295,6.42391553146414
10,7941,1.05602729638461,8.36273498565139
11,1866,1.28947727904785,8.61462947518579
11,3447,1.10001645535753,8.39217098685433
11,15583,1.14628825234411,9.12509619407221
11,16198,1.13596601516074,9.87859875356223
13,347,1.84017339259823,9.73955118170918
13,13311,1.18384086654141,10.6133499057178
13,13991,1.15622239112852,9.98585524842334
13,15796,1.21671409564573,9.78184138669635
14,1396,1.48203855649053,9.2790894308746
14,2014,1.43701633072532,10.7235391482112
14,8693,1.19605287792193,10.3368122908918
14,12845,1.25231239845492,10.7354079067748
15,1384,1.4902917488797,9.74769063840792
15,5074,1.34715431809044,11.5397461386408
15,18892,1.30263969121832,12.3306150783578
16,2598,1.43320947787202,11.366817462224
16,13726,1.31823335721423,11.6629565098438
17,6219,1.45318227245628,12.3122516791111
17,9296,1.36368593769237,10.926346886459
17,16821,1.36029720455835,11.3485653954776
18,1228,1.45406215738498,11.1536356148084
18,6337,1.51235073779499,13.1902474153337
18,7840,1.46836363987858,13.1235896397928
19,1904,1.67526688439965,13.5469476509325
19,7475,1.49709761749855,13.4197446678645
19,8851,1.36439757345314,12.3269194796953
19,13962,1.42643674696593,13.4035627763596
20,5875,1.60220025176527,13.7929737746524
20,7559,1.57997816936949,14.4763964216481
20,10243,1.53249636591158,13.6082289554653
20,13832,1.52172858514368,14.0915387489316
20,18295,1.43663581252941,13.1330456946863
22,4635,1.59424001541329,15.1441329947014
22,8924,1.47751493528076,14.3990101587594
22,9164,1.50264474701386,14.5099593356452
22,10652,1.56939218733592,15.5577435113692
22,15725,1.52853330589104,14.8834711181107
22,16256,1.53695341671721,15.9830141141793
22,19128,1.55026803334665,17.3465630161533
23,4607,1.64594175223623,15.7061857390729
23,9329,1.58431126231383,15.6536737806435
23,18238,1.50653326120298,16.6365634864318
25,2244,2.11557625883647,17.7866333782282
26,6774,1.77837984107799,17.179895105513
26,9708,1.68608261002908,17.1744797223965
26,12537,1.76119106353254,17.3206262136705
26,17697,1.73782913665037,17.9531682980108
27,4324,1.92913887859187,18.6550420303834
27,8067,1.81568805786677,19.4501765734223
27,16545,1.80521373135377,18.3105062894787
27,17071,1.79549016602673,18.2008965742576
28,9046,1.88374260478122,19.5266635064471
28,19882,1.81148467058416,20.9887283138235
29,7616,1.87776134443169,20.1414433005709
29,15535,1.88089065986103,19.8540079133331
29,18518,1.84503343080836,19.6718907166359
30,3293,2.04170855447089,19.9699554217006
31,4417,2.0495309119621,20.9411583678691
31,12363,1.84493795910478,19.7584283684976
31,16612,1.90958605930641,20.1946666839534
32,19680,1.81688403851736,20.9635008175485
33,516,2.53028235375794,20.5214290584976
35,11252,2.09303957870858,22.8538027312673
35,11453,2.07762273632009,23.05160819501
35,17572,1.99404041348275,22.2413828804919
36,3667,2.17872497299264,23.1341536418102
36,14579,2.07272437927512,23.4204683681573
37,1801,2.34338683035137,22.5714689975303
37,2188,2.5478872558003,23.6274226040004
37,10913,2.16345678239034,23.8593775884094
37,14211,2.13079364675925,24.4510882721561
39,1728,2.468595059215,23.3954149766036
39,2073,2.48744603616172,24.3470287512264
39,3558,2.22612861567289,24.0244918864179
40,336,3.07193054446607,25.0576322604319
40,5884,2.30315875312509,25.5061809410763
41,15824,2.20542356518731,26.4832845556784
42,5600,2.36462579525591,27.676662507313
42,16161,2.24090910943687,27.6329849902239
43,13765,2.29427554880734,27.9315581902689
43,14401,2.26877188583617,27.4306617138592
43,18575,2.296025283419,27.3747519535372
44,6804,2.43790520185284,27.9412659532624
46,5237,2.54042234309473,30.8719089671916
46,7170,2.48223404227857,30.062532535688
46,14215,2.36540077858769,32.0853750000239
46,14378,2.36987002827918,31.5437307953224
46,15666,2.38081091357299,31.3741072711698
47,1398,3.34363262923814,29.6465136943258
47,9515,2.5484299618332,31.4027305019179
48,1343,3.34143529442788,29.9948851241438
48,3795,2.70885852883347,31.9169100627934
49,2729,2.85844034908095,30.9937125643264
49,12174,2.51232834541916,31.4500824610436
49,12509,2.5466819958474,31.6542226949971
49,13869,2.53652335652814,33.8753765592178
50,2507,2.94419339218842,31.4860933011175
50,5576,2.67187592150065,32.7047293210463
50,16825,2.55447449331683,32.8163174147554
51,4335,2.8895920337678,32.6743947117382
51,4758,2.77098563012898,32.6986002491624
52,16868,2.56129415399253,33.4364377558119
53,2615,3.03898602232536,32.3086163038957
54,4819,2.86092601259652,34.3714192809557
54,6457,2.78251916729954,34.8201591280178
56,4176,3.01483995366152,34.8485073182368
