"richness","abundance","hill1"
3,3606,NA
3,8083,1.60884574016282
3,11700,NA
3,18166,NA
5,8307,1.95208225465495
5,11136,NA
5,12076,NA
5,12262,NA
5,17174,NA
6,1946,2.30459722735029
6,8557,2.12921596755161
6,14474,NA
7,2583,2.49434619896689
7,4207,2.41350581387199
9,5839,2.77525621136385
9,15015,NA
10,7941,2.9168542776812
11,1866,3.59309133733235
11,3447,3.37146526051378
11,15583,2.97484404747787
11,16198,2.96747415849177
13,347,5.35239562243336
13,13311,3.40375038673841
13,13991,3.39116168308622
13,15796,3.35993363876946
14,1396,4.61302361169733
14,2014,4.3788677607718
14,8693,3.74799420729448
14,12845,NA
15,1384,4.94204863438807
15,5074,4.19475511695177
15,18892,3.70343703236981
16,2598,4.82274671389019
16,13726,4.01495813614812
17,6219,4.59569544639477
17,9296,4.39732190674357
17,16821,4.1541596309981
18,1228,6.03661369083866
18,6337,4.8315212379545
18,7840,4.71831851363703
19,1904,5.96357528278304
19,7475,4.99035473659532
19,8851,4.89615430584429
19,13962,4.66722161883117
20,5875,5.38120918598312
20,7559,5.23031384334009
20,10243,5.05387379496769
20,13832,4.89459817573858
20,18295,4.75617349507009
22,4635,6.09834231676202
22,8924,5.61488471852065
22,9164,5.59212211183525
22,10652,5.50562330377927
22,15725,5.27601068395398
22,16256,5.25804151460994
22,19128,5.16935515742082
23,4607,6.37405951957963
23,9329,5.8363425517172
23,18238,5.41367524705108
25,2244,7.73566863802583
26,6774,6.86827199782813
26,9708,6.5634701778944
26,12537,6.36317604529375
26,17697,6.11894377054068
27,4324,7.58644366179234
27,8067,6.9908841578947
27,16545,6.39062196996022
27,17071,6.36976151202111
28,9046,7.13066903360628
28,19882,6.49012777154546
29,7616,7.56458831973035
29,15535,6.9221325898389
29,18518,6.77917309361908
30,3293,8.85162043403043
31,4417,8.76575837500317
31,12363,7.60620238211559
31,16612,7.33501202671367
32,19680,7.42656529459086
33,516,14.074093299106
35,11252,8.74336696033149
35,11453,8.71492234715567
35,17572,8.25498576131525
36,3667,10.5811086023785
36,14579,8.70421483492013
37,1801,12.3271234011484
37,2188,11.9955275786642
37,10913,9.29997297498409
37,14211,8.98117444788547
39,1728,13.2166874335028
39,2073,12.8269758872502
39,3558,11.6405821083075
40,336,19.8600486095552
40,5884,11.0440964728707
41,15824,9.87182205468439
42,5600,11.7431132066121
42,16161,10.0935596305249
43,13765,10.5809828531389
43,14401,10.5228201623166
43,18575,10.1687562717797
44,6804,11.9971064430584
46,5237,13.1293030488921
46,7170,12.4787035380683
46,14215,11.3229067364518
46,14378,11.303348182544
46,15666,11.1714394748166
47,1398,17.1330129964082
47,9515,12.261431304305
48,1343,17.6952019988613
48,3795,14.5013183764748
49,2729,15.759346727271
49,12174,12.3691255945065
49,12509,12.32342073375
49,13869,12.1451359816547
50,2507,16.4101235696614
50,5576,14.2658302213446
50,16825,12.0976484581545
51,4335,15.1923201235861
51,4758,14.9514565782795
52,16868,12.6191212401188
53,2615,17.4516835829435
54,4819,15.8965953198608
54,6457,15.1434192196819
56,4176,16.9810003231778
56,10097,14.7135953468108
57,14496,14.2385421507533
58,2537,19.3662556398126
58,2985,18.824653902514
58,11196,15.0616368099316
59,1965,20.8221692637572
59,18017,14.3315022334062
60,7354,16.7099734681996
60,7755,16.5584274708701
60,16779,14.7472747802418
61,16807,15.0028501467753
61,17623,14.9208989432833
63,7590,17.5521181363345
64,8124,17.6537494012619
64,11357,16.7674359408162
65,569,31.554423473814
66,13443,16.9017388379205
67,9784,18.0335628004997
68,6068,19.8319436996423
68,6426,19.644344700745
68,13268,17.5211052653634
68,15295,17.1424231863359
69,6539,19.9412702610431
69,8032,19.2297283499412
69,8627,19.0259587750378
70,1412,27.438233289565
71,2870,23.9320289765885
72,10060,19.455969263596
72,18236,17.790914798702
74,9119,20.4069709849297
74,9765,20.1620364761125
74,12459,19.4109404890868
74,19829,18.124184928724
75,1415,29.8282012862308
75,7262,21.4902521597157
75,13585,19.4487401256333
76,622,37.46252798244
76,3614,24.7254180528024
76,12412,20.025778159771
77,19722,18.9515869458573
78,6804,22.7449162148742
79,3663,25.9223043665294
79,5495,23.941366614276
79,19593,19.5138411612306
80,1204,33.5282266782493
80,3512,26.422966782195
80,18111,20.0173745778163
81,1203,33.9849861858161
81,1384,32.7214797106514
81,12060,21.579377315552
82,7739,23.5562778308541
82,8817,23.0274379942126
82,18322,20.52986290317
83,274,54.0321375975589
83,15466,21.344055537621
84,12055,22.4938613201708
85,291,54.9170322907357
85,13244,22.457320333887
85,15094,21.9859313662712
85,17249,21.5643376608894
86,3660,28.5226359001893
86,4986,26.8972690790027
86,18649,21.590342795313
87,3046,30.0254000349019
87,12231,23.3370035270004
87,19782,21.68229994307
88,11573,23.84765663477
88,18653,22.1600462704984
91,664,46.2044709407215
91,3691,30.435871770584
91,19794,22.7946375507609
92,11162,25.241559697437
92,19040,23.2021129177218
92,19130,23.1729804289434
93,8149,26.9395219214178
93,12079,25.2264649148969
93,14180,24.577904789592
93,19632,23.3779425025391
94,9503,26.5639804214771
95,13203,25.4349028197766
95,18211,24.2217258422563
96,11486,26.3726178031716
96,12510,25.9800678014744
96,17237,24.7114253826039
96,18927,24.3647400083121
97,9863,27.3598911693915
98,5623,30.6152367783873
98,13513,26.2821503451152
98,15152,25.8146032821968
98,15521,25.6971139980106
99,8719,28.5776388760077
100,227,74.0675807201967
100,2985,35.5887403692656
101,2654,36.8941211942578
101,7683,29.9026024500433
